index ,restaurant_id ,list_position ,total_available_restaurants ,estimate_delivery_time ,menu_category   ,star_rating ,purchasers
17673,385,22,27,15,italian         ,            ,90
20217,2581,9,9,30,indian          ,            ,180
18133,2390,53,87,25,greek           ,          5 ,54
19689,2696,14,24,15,italian         ,            ,54
25419,2515,14,16,25,italian         ,            ,117
17611,2051,53,55,30,japanese        ,            ,45
24943,2700,17,17,25,pizza           ,            ,48
24006,2979,34,35,20,italian         ,          5 ,42
4405,1024,2,7,15,italian         ,            ,30
3403,298,8,8,25,pizza           ,            ,35
7176,1131,0,17,10,american        ,          4 ,30
6726,1457,7,12,10,indian          ,            ,36
7450,1742,2,36,20,japanese        ,          4 ,40
4740,9,6,10,15,thai            ,          5 ,42
7917,1846,7,10,20,italian         ,            ,45
9490,2016,4,33,10,thai            ,          5 ,45
23040,2980,43,45,30,indian          ,            ,30
18105,1021,2,8,15,italian         ,          2 ,117
19491,471,20,21,30,indian          ,            ,78
28034,1090,22,34,10,indian          ,            ,64
21893,2513,3,10,20,thai            ,          5 ,36
23713,1456,5,10,20,italian         ,          4 ,45
14682,1389,0,17,10,japanese        ,          5 ,30
24731,2916,22,22,15,american        ,            ,48
16426,1444,2,24,10,american        ,          4 ,72
1916,1765,7,10,25,italian         ,            ,49
17589,689,6,10,30,italian         ,            ,45
17504,1959,74,77,15,turkish         ,            ,45
1665,422,33,33,30,indian          ,            ,56
9104,2483,16,18,40,indian          ,          5 ,126
14095,2658,42,47,45,thai            ,            ,40
23056,1297,11,23,15,american        ,            ,42
12294,264,14,23,20,italian         ,            ,30
2267,2518,6,9,20,american        ,            ,70
12901,2098,2,31,10,american        ,          4 ,64
20975,755,59,59,25,american        ,            ,48
24687,2535,17,20,30,american        ,          4 ,48
8897,769,4,44,15,mexican         ,          5 ,84
19197,1549,15,22,15,american        ,            ,40
4561,2519,8,8,30,italian         ,            ,63
28265,1435,23,24,30,italian         ,            ,63
6217,2819,23,31,25,italian         ,          1 ,56
3590,2087,20,28,10,thai            ,          4 ,42
9393,279,26,28,35,american        ,          5 ,40
24699,2651,3,6,50,pizza           ,          4 ,30
25525,2281,2,8,20,italian         ,            ,54
2950,2596,20,25,20,indian          ,            ,54
2596,1197,20,46,15,italian         ,          4 ,48
10076,347,11,14,20,american        ,            ,54
9684,812,14,62,10,american        ,          5 ,42
21790,842,2,18,30,italian         ,          5 ,48
11612,525,9,20,10,american        ,          3 ,35
11998,2596,25,28,20,indian          ,            ,49
22226,1357,3,19,10,american        ,          5 ,45
14534,2004,24,38,15,turkish         ,          5 ,30
7572,1649,5,30,20,american        ,          5 ,72
8266,1642,25,37,15,italian         ,            ,40
2727,1095,13,38,20,italian         ,          4 ,56
7030,2670,11,15,20,american        ,            ,45
1604,2733,27,29,20,italian         ,            ,45
26606,469,1,3,20,indian          ,            ,45
27705,2808,0,6,40,pizza           ,          3 ,40
2215,476,32,36,20,indian          ,          2 ,99
28281,840,4,15,10,american        ,          4 ,42
21085,3019,37,42,30,american        ,          5 ,45
15482,82,8,18,20,american        ,            ,48
23146,1736,14,29,15,italian         ,          5 ,30
21302,510,16,18,20,american        ,            ,40
22037,1943,10,26,10,italian         ,            ,54
10676,780,1,26,20,japanese        ,          4 ,72
13105,103,26,38,30,american        ,          5 ,30
16266,1398,3,25,20,american        ,          5 ,48
15985,190,12,12,25,indian          ,            ,63
16047,714,1,32,15,japanese        ,          5 ,54
2534,19,1,11,15,american        ,            ,42
8214,1190,35,35,30,lebanese        ,            ,35
6238,2758,19,26,35,indian          ,            ,42
26689,1971,63,78,20,italian         ,            ,40
9125,926,11,47,15,italian         ,            ,45
3283,441,18,26,15,italian         ,            ,40
14855,841,8,24,15,italian         ,            ,30
13356,1642,12,18,15,italian         ,            ,35
10785,769,4,34,10,mexican         ,          5 ,35
14960,2684,33,42,20,pizza           ,          3 ,40
18789,2083,5,38,20,american        ,          5 ,63
2589,2788,6,34,15,mexican         ,          4 ,63
23425,984,2,11,20,american        ,          5 ,42
5677,2042,0,17,20,american        ,          4 ,48
14306,2640,18,31,45,italian         ,          4 ,30
7086,2184,10,34,15,italian         ,          5 ,56
21212,416,36,38,35,indian          ,            ,126
25627,1993,16,22,25,indian          ,            ,40
26831,335,6,7,15,turkish         ,          5 ,72
14516,2554,51,55,20,greek           ,            ,40
19935,2531,12,14,40,pizza           ,          5 ,84
28305,447,31,34,20,italian         ,            ,40
13853,881,33,44,20,italian         ,          4 ,45
25155,780,0,15,25,japanese        ,          4 ,45
20192,1513,25,39,15,greek           ,            ,42
6910,1877,12,19,15,italian         ,            ,48
11732,2508,14,44,25,indian          ,          4 ,30
22368,3048,44,46,20,turkish         ,          5 ,54
1134,347,30,40,15,american        ,            ,84
17901,1121,18,26,35,american        ,          4 ,40
19649,1892,4,10,20,mexican         ,          4 ,54
26192,2641,3,15,20,pizza           ,          5 ,72
23862,1025,2,5,20,italian         ,          5 ,63
22001,778,6,15,30,thai            ,          4 ,126
11605,1993,19,24,35,indian          ,            ,35
16607,1530,9,37,30,american        ,          5 ,30
20449,1346,6,40,10,american        ,          5 ,56
2301,2564,4,42,15,turkish         ,          5 ,63
9539,1762,5,5,15,italian         ,          4 ,45
18144,904,8,32,20,italian         ,          5 ,48
17470,3021,20,22,20,indian          ,            ,90
4597,2743,18,27,20,korean          ,            ,35
15548,1160,23,26,25,american        ,            ,108
7786,1866,12,25,15,american        ,          5 ,30
2005,1351,2,30,10,american        ,          5 ,40
17662,1274,40,41,20,italian         ,            ,63
18564,2169,37,40,30,indian          ,            ,56
11457,1318,3,50,10,american        ,          5 ,36
28424,2828,44,45,40,italian         ,            ,40
27370,1301,10,30,30,lebanese        ,          4 ,49
17568,215,14,15,10,indian          ,            ,54
13535,482,10,15,25,italian         ,            ,64
2502,1481,7,8,15,turkish         ,          5 ,36
8477,1840,6,17,20,indian          ,          5 ,56
13543,2602,23,29,25,indian          ,          4 ,36
12549,1815,20,31,20,indian          ,            ,48
1730,548,18,18,30,indian          ,            ,40
9304,2042,1,18,15,american        ,          4 ,72
1982,2065,26,33,25,american        ,          3 ,45
8448,2626,40,60,30,thai            ,            ,36
9906,1889,3,6,15,turkish         ,          5 ,60
8883,1121,20,22,35,american        ,          4 ,35
14484,1200,1,13,20,american        ,          4 ,70
13078,1898,14,18,20,italian         ,          5 ,56
23460,2526,14,14,30,indian          ,          4 ,48
168,1309,9,26,35,italian         ,          4 ,80
15830,2737,24,27,20,american        ,            ,45
10009,1331,24,26,20,american        ,            ,176
3526,407,59,79,25,italian         ,            ,30
24931,2315,27,28,20,mexican         ,            ,40
18535,710,8,48,25,american        ,          4 ,40
11846,2801,61,63,35,indian          ,            ,108
1645,312,38,39,30,italian         ,            ,42
13049,1744,7,21,20,italian         ,          3 ,35
23624,1176,4,39,15,thai            ,          4 ,30
2415,2823,1,2,20,italian         ,          5 ,84
17857,1193,34,38,10,american        ,            ,30
13531,111,2,18,20,american        ,            ,64
14339,916,7,16,10,italian         ,          4 ,48
15908,1097,28,39,25,italian         ,            ,45
12378,2591,3,4,40,italian         ,            ,30
18623,1542,0,24,15,american        ,          5 ,56
13080,1285,5,22,20,thai            ,          5 ,42
368,985,24,35,20,indian          ,            ,40
2761,2769,44,47,40,pizza           ,            ,40
12406,1121,22,25,50,american        ,          4 ,49
7396,201,11,16,20,pizza           ,          4 ,63
27922,619,7,13,25,italian         ,            ,88
24578,68,22,31,35,indian          ,          1 ,30
248,1808,0,14,20,american        ,          4 ,81
18086,17,10,14,25,italian         ,          2 ,48
15378,2520,16,19,20,american        ,          5 ,36
4255,1962,9,10,25,south indian    ,            ,198
6917,1028,9,25,20,italian         ,          5 ,30
19971,1164,22,37,20,turkish         ,          2 ,48
9607,2742,2,17,10,italian         ,          4 ,30
16736,1119,21,26,10,italian         ,          5 ,35
11389,2461,12,28,25,italian         ,          4 ,80
488,1858,7,22,15,japanese        ,          5 ,64
27432,2623,22,23,30,indian          ,          1 ,48
14315,2024,6,9,15,american        ,          5 ,30
22243,888,17,32,20,italian         ,            ,35
13497,1328,60,67,15,mexican         ,            ,40
23478,709,3,18,10,american        ,          4 ,54
22628,2867,15,17,30,indian          ,            ,80
22817,2299,26,29,10,italian         ,            ,35
6891,2879,20,20,30,italian         ,            ,63
4757,595,84,84,30,italian         ,            ,91
10000,1044,5,9,15,mexican         ,          4 ,30
21776,2820,4,14,10,american        ,          4 ,72
17134,337,22,23,45,indian          ,            ,45
14323,884,4,26,10,italian         ,          4 ,45
1064,232,8,14,20,american        ,            ,54
3580,2077,0,10,20,american        ,          4 ,40
19820,242,7,8,30,turkish         ,          3 ,35
11571,2102,7,16,20,italian         ,          5 ,30
2755,1642,10,18,15,italian         ,            ,48
28432,2739,15,17,30,american        ,            ,45
5380,2277,8,22,20,indian          ,          5 ,42
26379,1439,5,6,20,italian         ,            ,30
3456,570,46,46,30,asian           ,            ,30
21139,26,19,20,40,american        ,            ,35
1115,2089,52,56,20,indian          ,            ,72
24004,2426,8,8,20,indian          ,          4 ,70
18040,1760,0,8,10,american        ,          4 ,162
11916,370,16,16,20,turkish         ,            ,30
18907,913,12,38,15,thai            ,          5 ,36
25053,1523,11,22,15,indian          ,          4 ,98
2814,2793,18,25,25,italian         ,            ,35
26899,1312,0,18,15,japanese        ,          4 ,35
6309,337,37,39,45,indian          ,            ,90
9682,2664,30,34,10,pizza           ,            ,45
3002,2449,46,51,30,pizza           ,            ,88
13749,987,8,11,15,italian         ,            ,112
1732,2525,3,5,25,european        ,            ,66
8481,2694,28,30,20,indian          ,            ,63
21080,310,8,31,35,greek           ,          5 ,30
18638,2458,11,12,20,mexican         ,            ,30
18673,2666,10,16,40,indian          ,          5 ,35
451,2765,1,4,20,pizza           ,          4 ,40
18193,2598,15,17,35,italian         ,          5 ,45
14251,1260,28,67,15,italian         ,            ,30
3475,482,14,20,30,italian         ,            ,30
1663,2315,24,25,20,mexican         ,            ,63
3586,863,2,10,10,american        ,          4 ,45
1079,2601,3,5,10,american        ,          4 ,48
11661,1435,14,14,25,italian         ,            ,35
25347,2216,2,16,10,american        ,          5 ,72
7648,1595,2,7,15,italian         ,            ,56
27298,1908,6,13,15,american        ,          4 ,81
6966,2893,8,11,20,italian         ,            ,40
4456,2699,22,26,10,american        ,          5 ,42
9116,2807,10,24,25,italian         ,            ,56
27234,1200,3,25,15,american        ,          4 ,48
4878,501,22,22,35,indian          ,            ,208
25241,1074,1,7,15,american        ,          4 ,54
20726,2574,57,60,25,indian          ,            ,35
28455,548,9,9,25,indian          ,            ,180
3194,2759,40,45,45,american        ,            ,42
19980,1357,6,46,10,american        ,          5 ,60
8157,482,10,16,35,italian         ,            ,56
9000,839,2,27,15,japanese        ,          5 ,63
3947,887,3,58,20,american        ,          4 ,40
3190,1862,26,29,15,indian          ,            ,72
3636,1607,29,43,20,italian         ,            ,40
6984,370,5,5,20,turkish         ,            ,90
4472,957,10,44,15,italian         ,          3 ,48
7406,2503,3,46,20,asian           ,          5 ,45
15388,3046,10,10,15,japanese        ,          5 ,63
5479,1219,20,74,15,american        ,          4 ,45
14376,2900,2,12,15,american        ,          3 ,48
11146,333,39,40,20,american        ,            ,60
16462,1407,4,18,15,italian         ,          4 ,35
26019,2494,20,50,10,italian         ,            ,40
21897,2058,14,18,10,turkish         ,            ,54
18708,1393,17,19,15,mexican         ,            ,54
25868,384,8,46,20,mexican         ,          5 ,54
22166,2788,14,50,20,mexican         ,          4 ,45
6761,2403,34,41,20,indian          ,            ,117
15406,2856,33,34,40,american        ,            ,90
20810,2599,73,76,30,american        ,            ,196
13611,550,26,26,25,italian         ,            ,128
6903,2937,5,6,15,italian         ,            ,48
316,677,0,26,20,japanese        ,          5 ,40
6335,114,63,79,45,american        ,            ,40
15165,989,6,8,15,thai            ,          4 ,80
26709,447,24,30,15,italian         ,            ,63
11038,320,11,17,15,italian         ,            ,99
15844,386,34,40,20,italian         ,            ,54
23380,1065,3,26,15,american        ,          4 ,35
7953,2976,13,18,30,mexican         ,            ,45
18630,1767,4,68,15,american        ,          4 ,88
6804,62,35,66,10,italian         ,            ,35
5048,2392,22,39,10,italian         ,          5 ,45
13826,2861,10,14,15,indian          ,          4 ,40
2715,1643,9,18,20,indian          ,          5 ,42
21480,156,18,24,30,american        ,          2 ,35
281,2755,13,14,15,mexican         ,          5 ,63
16810,2257,37,38,10,american        ,            ,54
22520,2782,20,36,35,indian          ,          4 ,40
9329,1370,4,18,10,japanese        ,          4 ,45
980,1196,7,14,20,american        ,          5 ,48
17963,530,1,50,10,american        ,          4 ,48
1415,325,17,19,30,italian         ,            ,54
6539,470,10,15,10,american        ,            ,99
7640,1898,8,11,20,italian         ,          5 ,64
625,1421,4,22,15,turkish         ,          5 ,40
26595,125,37,41,25,indian          ,            ,54
9028,1071,7,21,15,thai            ,          5 ,63
25695,2939,3,8,15,italian         ,          1 ,56
12362,2308,3,6,15,american        ,            ,45
21228,2578,32,45,40,indian          ,          4 ,40
24433,2589,14,46,40,indian          ,          5 ,45
26444,278,33,49,45,italian         ,            ,35
8571,2544,25,45,15,american        ,            ,108
5122,1490,14,17,15,mexican         ,            ,49
25554,554,10,28,30,italian         ,            ,48
12803,1883,7,22,10,american        ,          4 ,36
1087,2529,16,24,20,turkish         ,          1 ,30
12718,1755,11,17,15,japanese        ,          5 ,117
24951,2558,40,42,35,american        ,            ,49
17449,590,5,5,10,indian          ,            ,35
20899,2252,7,11,30,american        ,            ,84
22229,1795,2,6,10,american        ,          4 ,56
10154,667,1,3,30,italian         ,            ,126
7448,333,25,26,20,american        ,            ,56
7607,372,4,24,10,japanese        ,          5 ,56
25690,2489,23,48,20,japanese        ,          5 ,40
14148,1121,9,13,40,american        ,          4 ,88
24320,787,12,45,25,japanese        ,          5 ,40
10186,645,9,65,20,japanese        ,          5 ,30
12849,1696,22,28,20,american        ,          4 ,40
9443,2069,35,52,20,american        ,          4 ,54
19354,2220,15,15,20,american        ,            ,56
4111,2559,14,20,20,american        ,            ,42
5549,2289,9,17,20,thai            ,          5 ,35
24855,613,13,43,35,indian          ,            ,48
6356,913,5,15,15,thai            ,          5 ,35
9919,2597,2,3,30,indian          ,            ,42
21485,196,6,47,15,american        ,          5 ,56
12050,1623,1,20,20,american        ,          5 ,45
28056,97,9,10,20,italian         ,            ,35
21362,9,3,4,15,thai            ,          5 ,35
2146,2381,7,31,20,american        ,          3 ,40
23498,699,4,58,15,american        ,          4 ,35
5467,108,16,41,20,american        ,          4 ,40
18777,542,40,42,45,american        ,            ,66
739,2251,6,11,20,american        ,          5 ,40
8460,341,31,40,30,italian         ,            ,54
17075,1512,12,20,20,indian          ,            ,48
20815,1144,4,29,10,japanese        ,          4 ,99
19488,2265,27,27,20,italian         ,            ,90
5129,2573,15,16,25,indian          ,            ,40
1057,2782,17,30,30,indian          ,          4 ,63
4603,486,0,1,15,italian         ,          1 ,70
8880,983,0,7,20,american        ,          4 ,36
8903,2420,1,8,10,german          ,          5 ,117
1312,2630,41,43,30,american        ,            ,54
12884,2560,10,46,10,mexican         ,          4 ,40
665,913,15,46,20,thai            ,          5 ,60
20169,829,1,7,15,japanese        ,          5 ,54
5666,1666,4,7,15,turkish         ,            ,35
6742,2941,14,14,20,american        ,            ,42
27337,2142,2,3,20,italian         ,          5 ,45
25925,384,5,26,10,mexican         ,          5 ,99
6420,2596,17,20,20,indian          ,            ,60
24468,1160,21,23,20,american        ,            ,70
23717,1200,2,23,15,american        ,          4 ,36
4820,1151,19,30,15,italian         ,            ,30
15219,1029,6,25,10,italian         ,            ,35
8009,2146,9,19,10,american        ,          3 ,35
3048,684,19,40,30,indian          ,            ,48
5955,1809,1,32,15,american        ,          4 ,54
20576,1026,7,22,15,italian         ,            ,54
28486,15,14,15,15,indian          ,            ,30
15669,3043,4,10,15,italian         ,            ,30
14109,411,11,11,20,indian          ,            ,35
16333,1020,6,19,15,thai            ,          5 ,63
14242,1178,14,41,10,japanese        ,          5 ,64
16729,1945,38,55,25,japanese        ,          4 ,98
14477,1649,4,22,15,american        ,          5 ,45
21859,433,20,26,10,italian         ,            ,64
27638,473,12,14,45,american        ,          5 ,60
27189,949,13,29,15,american        ,            ,42
5497,905,18,43,10,italian         ,          1 ,45
26619,423,86,88,30,indian          ,            ,48
9321,2283,3,26,15,american        ,          5 ,135
12560,1319,4,71,10,american        ,          4 ,36
22007,171,2,2,30,italian         ,          5 ,40
3036,1640,13,15,15,italian         ,            ,49
602,1008,4,35,15,american        ,          4 ,56
23171,870,18,43,20,italian         ,            ,63
6120,1633,16,16,30,american        ,          5 ,30
25399,2696,25,34,20,italian         ,            ,40
27119,1188,15,23,15,american        ,            ,80
17739,2144,64,65,25,lebanese        ,            ,30
10784,2962,10,30,20,pizza           ,          5 ,45
3185,82,39,67,20,american        ,            ,72
14812,1739,9,17,10,italian         ,            ,56
20056,1696,28,34,20,american        ,          4 ,64
16583,3008,2,5,15,italian         ,          4 ,42
410,1469,12,28,20,indian          ,          4 ,30
19417,2891,9,9,35,mexican         ,            ,88
5082,688,4,14,30,american        ,            ,40
22633,1255,39,59,30,japanese        ,          5 ,40
10334,870,14,41,20,italian         ,            ,30
15041,1104,2,4,20,italian         ,          4 ,225
24650,2987,20,22,25,italian         ,          4 ,243
7734,2043,1,9,15,vietnamese      ,          5 ,42
10780,880,6,26,15,italian         ,          4 ,56
12923,2288,21,29,20,asian           ,          5 ,99
4741,2877,24,27,40,italian         ,            ,72
5415,3011,59,62,30,indian          ,            ,42
8207,912,20,32,15,american        ,          5 ,42
7101,1707,16,28,35,vegetarian      ,          3 ,56
2961,673,14,33,35,indian          ,          3 ,42
11545,1529,11,23,20,thai            ,          5 ,45
11779,701,5,9,35,indian          ,            ,35
18703,1481,21,24,25,turkish         ,          5 ,48
10651,1226,2,10,30,thai            ,          5 ,35
2214,960,10,22,10,italian         ,          5 ,81
16832,923,21,23,30,italian         ,            ,42
21820,2318,18,19,20,american        ,          5 ,88
27753,159,3,12,20,italian         ,            ,66
15412,2299,18,23,15,italian         ,            ,54
25407,431,10,18,20,italian         ,            ,40
222,1053,5,70,10,italian         ,          4 ,54
5909,1898,5,5,15,italian         ,          5 ,40
21479,1138,4,56,15,mexican         ,          5 ,40
23916,2530,50,62,35,thai            ,          5 ,63
8726,2634,41,45,30,indian          ,            ,35
25531,2820,6,16,20,american        ,          4 ,36
26073,2769,37,38,40,pizza           ,            ,138
15441,2656,17,18,30,italian         ,            ,210
12555,1322,5,16,10,american        ,          5 ,35
18856,2975,3,4,35,indian          ,          5 ,98
20605,2023,1,5,15,american        ,          5 ,30
4116,458,24,33,30,american        ,          4 ,42
381,1507,20,26,35,american        ,          2 ,54
17692,311,17,20,20,thai            ,            ,42
9540,2215,2,32,15,american        ,          5 ,48
16373,2503,2,15,20,asian           ,          5 ,56
16069,1131,1,50,15,american        ,          4 ,108
14799,853,9,17,15,mexican         ,            ,66
22973,855,15,26,10,italian         ,            ,80
22308,542,8,10,35,american        ,            ,48
13849,1361,4,22,10,american        ,          4 ,45
1823,242,6,6,30,turkish         ,          3 ,45
28453,347,6,9,20,american        ,            ,54
24279,1785,1,25,10,american        ,          5 ,30
6418,2081,24,25,20,italian         ,            ,117
18786,1262,18,26,10,italian         ,          5 ,63
12297,2840,62,65,30,pizza           ,            ,30
20072,558,36,45,20,mexican         ,          5 ,48
2153,1943,19,53,15,italian         ,            ,35
21249,1160,19,23,20,american        ,            ,48
21309,493,11,12,30,indian          ,            ,30
331,2207,9,22,10,mexican         ,          5 ,54
608,152,14,62,15,italian         ,          4 ,30
27512,2060,5,7,10,greek           ,            ,49
26344,1654,8,8,20,greek           ,            ,42
26253,1774,26,39,15,lebanese        ,            ,72
6199,2522,18,30,20,italian         ,          5 ,99
13045,3050,21,62,20,indian          ,            ,40
7628,2564,1,4,15,turkish         ,          5 ,36
25312,1071,4,12,10,thai            ,          5 ,63
12873,2932,9,13,10,mexican         ,          5 ,63
20432,1304,44,53,20,mexican         ,          2 ,36
17042,881,21,29,10,italian         ,          4 ,81
5562,1740,2,7,10,american        ,          4 ,72
25193,2642,55,58,30,italian         ,            ,56
8283,1855,24,24,20,indian          ,            ,333
10842,2055,46,54,15,american        ,          5 ,42
18717,2152,10,12,10,indian          ,          5 ,36
12278,2578,36,38,35,indian          ,          4 ,70
19598,2229,22,28,20,american        ,            ,56
11429,1767,0,15,10,american        ,          4 ,147
6254,818,13,37,20,american        ,          5 ,40
15364,2392,14,24,20,italian         ,          5 ,40
23143,2490,41,41,45,american        ,            ,45
14056,1341,28,30,20,american        ,            ,40
12588,3011,13,14,20,indian          ,            ,36
22687,1783,2,20,15,american        ,          3 ,40
13036,2517,8,8,20,indian          ,            ,108
9351,2779,7,38,20,turkish         ,          5 ,30
3830,496,52,55,35,american        ,          4 ,36
9359,2215,2,26,15,american        ,          5 ,49
16613,1316,4,11,10,japanese        ,          4 ,48
12012,663,5,9,25,italian         ,            ,48
5069,1609,34,69,20,italian         ,            ,35
24835,385,16,20,15,italian         ,            ,48
25574,1109,8,18,10,italian         ,          4 ,40
26056,1737,4,7,10,turkish         ,          5 ,56
13765,470,22,30,20,american        ,            ,297
25805,1926,4,53,10,american        ,          5 ,36
22146,643,12,41,25,turkish         ,            ,54
19462,1547,14,16,20,american        ,            ,45
28442,541,19,20,35,italian         ,            ,35
23349,1992,15,40,10,indian          ,          4 ,30
7746,133,30,38,20,indian          ,          3 ,72
21337,2679,19,20,30,indian          ,            ,40
27304,1841,2,14,10,american        ,          5 ,60
24780,613,6,20,30,indian          ,            ,35
25035,2398,17,39,20,thai            ,          5 ,49
3777,2726,28,59,45,indian          ,          4 ,40
25097,899,3,6,20,italian         ,            ,40
3223,2556,4,30,20,pizza           ,          4 ,64
16603,666,13,26,30,thai            ,          4 ,56
26784,1226,3,15,40,thai            ,          5 ,35
5805,2098,2,25,15,american        ,          4 ,84
19265,1654,13,15,10,greek           ,            ,72
12811,2042,0,12,15,american        ,          4 ,184
27658,1791,3,26,15,turkish         ,          5 ,36
25724,360,21,27,15,greek           ,          5 ,45
19487,2764,6,8,30,italian         ,            ,35
10580,914,28,37,15,american        ,            ,30
23272,2815,9,12,15,indian          ,            ,54
25461,266,5,75,30,asian           ,          5 ,42
19321,2804,10,37,35,american        ,            ,35
12236,1855,16,16,20,indian          ,            ,30
22938,2673,31,32,35,indian          ,            ,56
16735,1791,4,36,10,turkish         ,          5 ,64
232,1180,4,19,15,italian         ,          5 ,40
21267,800,57,85,20,italian         ,            ,54
14975,2316,34,56,15,american        ,            ,40
27728,3019,40,41,25,american        ,          5 ,78
3273,202,13,14,15,indian          ,          3 ,56
8242,1295,48,55,15,lebanese        ,            ,35
25769,2862,6,43,20,american        ,          4 ,54
17783,692,20,59,30,indian          ,            ,40
14953,1955,43,56,20,lebanese        ,          4 ,35
22022,2023,0,5,10,american        ,          5 ,98
16983,210,6,8,20,american        ,            ,48
19648,2880,2,15,15,japanese        ,          5 ,30
24556,896,26,38,10,italian         ,          5 ,40
18639,2787,25,38,25,mexican         ,          4 ,48
11863,1637,36,44,20,italian         ,            ,88
6011,334,6,20,15,american        ,          3 ,40
21641,1468,10,29,15,turkish         ,          4 ,81
19148,2883,46,46,35,indian          ,            ,117
76,1239,8,11,10,italian         ,          5 ,56
26226,2840,22,23,35,pizza           ,            ,105
4786,1104,8,14,20,italian         ,          4 ,45
14106,2265,17,17,20,italian         ,            ,42
1109,1261,8,10,30,italian         ,          5 ,98
21658,557,2,44,20,japanese        ,          5 ,30
2210,1389,2,19,10,japanese        ,          5 ,108
17469,493,48,50,30,indian          ,            ,45
21847,1745,11,26,20,american        ,          4 ,48
